"survey_dt","polyid","effort_type","non_pup","pup","num_seals","tide_height","nearest_high_dt","nearest_high_height","nearest_low_dt","nearest_low_height"
2018-08-30 21:34:56,"OB06","Partial survey",69,0,69,0.502294,2018-08-31 02:04:00,1.32,2018-08-30 19:45:00,0.3
2017-08-26 23:21:32,"OB07","Full survey, no recon",93,0,93,0.464506,2017-08-26 20:04:00,0.61,2017-08-27 01:19:00,0.42
2015-08-27 20:11:02,"OB07","Full survey, no recon",105,0,105,0.042062,2015-08-28 01:43:00,0.61,2015-08-27 17:51:00,-0.18
2015-08-31 18:19:41,"OB08","Full survey, no recon",59,0,59,0.619352,2015-08-31 15:25:00,0.93,2015-08-31 21:53:00,0.19
2015-08-31 19:21:01,"OB08","Full survey, no recon",53,0,53,0.42852,2015-08-31 15:25:00,0.93,2015-08-31 21:53:00,0.19
2017-08-26 23:42:52,"OB08","Full survey, no recon",47,0,47,0.474343,2017-08-26 19:36:00,0.82,2017-08-27 01:17:00,0.39
2018-08-30 21:04:20,"OB12","Full survey, recon",126,0,126,0.417681,2018-08-30 17:34:00,0.59,2018-08-30 22:37:00,0.37
2017-08-26 22:58:53,"OB12","Full survey, no recon",167,0,167,0.379673,2017-08-26 19:13:00,0.7,2017-08-27 00:04:00,0.33
2015-08-28 21:48:26,"OB12","Partial survey",125,0,125,0.305085,2015-08-29 01:55:00,0.7,2015-08-28 18:02:00,-0.08
2015-08-27 18:57:07,"OB12","Partial survey",16,0,16,-0.009483,2015-08-28 01:23:00,0.69,2015-08-27 17:17:00,-0.1
2015-08-27 18:49:10,"OB13","Full survey, no recon",94,0,94,-0.074102,2015-08-28 01:57:00,0.64,2015-08-27 18:21:00,-0.08
2018-08-17 00:23:43,"OB13","Full survey, no recon",143,0,143,0.248911,2018-08-16 20:02:00,0.68,2018-08-17 01:23:00,0.21
2017-08-26 22:51:27,"OB13","Full survey, no recon",126,0,126,0.420114,2017-08-26 19:47:00,0.66,2017-08-27 01:08:00,0.27
2015-08-28 20:29:09,"PA03","Full survey, no recon",121,0,121,0.050903,2015-08-29 02:03:00,0.84,2015-08-28 18:38:00,-0.1
2017-08-26 21:57:06,"PA03","Full survey, no recon",19,0,19,0.627475,2017-08-26 19:21:00,0.85,2017-08-27 00:40:00,0.4
2018-08-16 22:59:49,"PA03","Full survey, no recon",115,0,115,0.471564,2018-08-16 19:36:00,0.87,2018-08-17 00:55:00,0.3
